idmeertens,source_id,source,beroep_afzender,sekse,klasse,leeftijd_afzender,verzendlocatie,datum_verzonden,target,target_id,sekse_ontvanger,relatie,beroep_ontvanger,ontvangerlocatie,genre,schip,lng_afzender,lat_afzender,genoemde_namen,genoemde_goederen,afbeeldingjpg,afbeeldingxml,transcriptie,lat_ontvanger,lng_ontvanger,landcode,target_id_fout,fuzzy_id
number 522,12,Nicolaas Combe,,m,,,World/Suriname,1671-12-29,Adrian Liefhebber,460000,,,,World/The Netherlands/Zeeland/Middelburg,,,-56,027783,3,919305,Kapitein Corneles Bastiaensen, Jan Fransen,,,,,51,4987962,3,610998,1,46,
number 513,12,Nicolaas Combe,,m,,,World/Suriname,1672-1-12,Adrian Sengelinck,470000,,,,World,,,-56,027783,3,919305,,9 alfoxchoofden lamoen sop,,,,42,230537,-83,7466403,1,47,
number 488,462,Maerten Lemps,planter,m,,,World/Suriname,1672-1-12,Adriana Couters ,480000,,moeder, broeder, zuster,,World,,,-56,027783,3,919305,,Suiker,,,,42,230537,-83,7466403,1,48,
number 90,42,Bastiaen Jansen Verhooren,,m,,,World/Suriname,1672-1-12,Adriana Jans Last,490000,,moeder,,World/The Netherlands/Zeeland/Middelburg,,,-56,027783,3,919305,Pieter Jaspersen, Jan Isacsen, moeders vrient in de reigerstraat (51.49954, 3.61580),,,,,51,4987962,3,610998,1,49,
number 248,107,Golken Ceuvelaer,plantersvrouw,v,,,World/Suriname,1672-1-11,Adriana Lemps,500000,,moeder,,World,,,-56,027783,3,919305,Capitein Raes, Isacq Dragon, Bolle, Kapitein Donker, Johan Olijslager, Clemendt, Thijssen, Jan Andriessen,Suiker,,,,42,230537,-83,7466403,1,50,
number 46,23,Abraham Haghens,,m,,,World/Suriname/Torarica,1671-12-26,Adrianus van der Spoor,510000,,,,World/The Netherlands/Zuid-Holland/Rotterdam,,,-55,0333333,5,3333333,Cornelis (neef), Jacob Soetelinck, Monsr Jacobus vader, ,,,,,51,9216667,4,4811111,1,51,
2446,454,Jan Tinnegieter ,Dagloner,m,,30-35,World/Suriname,1672-1-9,Adrieijaen Christiaensen,520000,,,,World/The Netherlands/Zeeland/Vlissingen,brief,,-56,027783,3,919305,,,nl-hana_hca30-227.1_2_0051.jpg,nl-hana_hca30-227.1_2_0051.xml,,51,4536672,3,5709125,1,52,
number 572,188,Samuel de Witt,,m,,,World/Suriname,1672-1-6,Aeftie van Duijchenburgh,530000,,lief,,World/The Netherlands/Zuid-Holland/Leiden,,,-56,027783,3,919305,Augustinus Brunz,Suiker,,,,52,1601144,4,4970097,1,53,
number 433,147,Johannes d'Olijslager,,m,,,World/Suriname/Torarica,1672-01-09,Aernoult de Moulier,540000,,heer en vriend,,World/The Netherlands/Zeeland/Middelburg,,,-55,0333333,5,3333333,,,,,,51,4987962,3,610998,1,54,
X,1003,Bentto da Costa,,,,,World/Suriname,1672-8-20,Agostjnho Coronel Chacon,550000,,,,World/England/Londen,,,-56,027783,3,919305,,,,,,51,508515,-0,1254872,2,55,
2864,32,Alexander Batij,secretaris,m,,,World/Suriname/Torarica,1672-1-7,Alexander Batij,320000,m,vader  ,koopman,World/The Netherlands/Zuid-Holland/Den Haag,brief,,-55,0333333,5,3333333,,een halff oxhooft wit Zuijcker & wat Lamoensap & jngeleijde Lemkens ,nl-hana_hca30-227.1_6_0009.jpg,nl-hana_hca30-227.1_6_0009.xml,,52,0704978,4,3006999,1,32,
number 85,41,Barent Harmansz Voocht,,m,,,World/Suriname,1672-1-12,Anderies Claessen Vocht,570000,,,kapitein,World,,,-56,027783,3,919305,,,,,,42,230537,-83,7466403,1,57,
number 134,55,Claes Anderseros,,m,,,World,1671-11-23,Anderis Clase Vos,580000,,,Schipper,World/The Netherlands/Noord-Holland/Amsterdam,,,-83,7466403,42,230537,Soetelinck (neef), Jean Sijmoensse (buurman),,,,,52,3702157,4,8951679,1,58,
number 241,105,Gerard Wobma,,man,,<30,World,1672-9-12,Andries Claasz. Vos,590000,,Zoon,,World/The Netherlands/Noord-Holland/Amsterdam,brief,,-83,7466403,42,230537,Soetelinck (neef), Jean Sijmoensse (buurman),,,,,52,3702157,4,8951679,1,59,
number 267,113,Hendrick Huiberts,,m,,,World/Suriname,1672-9-9,Andries Claes Vos,600000,,,,World,,,-56,027783,3,919305,Pieter Jaspersen, Jan Isacsen, moeders vrient in de reigerstraat (51.49954, 3.61580),,,,,42,230537,-83,7466403,1,60,
number 264,113,Hendrick Huiberts,,m,,,World/Suriname,1672-1-12,Andries Claesen Vos,610000,,,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,Capitein Raes, Isacq Dragon, Bolle, Kapitein Donker, Johan Olijslager, Clemendt, Thijssen, Jan Andriessen,paertie letter houte stocken, alf oxhooft leemon sop, als ox hooft goet sucker,,,,52,3702157,4,8951679,1,61,
Y,5,G. Wobma,,m,,,World/Suriname,1672-9-12,Andries Clasen Vos,620000,m,vader en moeder,,World/The Netherlands/Noord-Holland/Amsterdam,,,-56,027783,3,919305,Pieter Jaspersen, Jan Isacsen, moeders vrient in de reigerstraat (51.49954, 3.61580),,,,,52,3702157,4,8951679,1,62,
Z,380,Lianor da Costa de Brita,,,,,World/Suriname,1672-1-5,Anna da Costa Pessoa,630000,,,,World/Portugal/Estremadura/Lissabon,,,-56,027783,3,919305,,,,,,38,7222524,-9,1393366,2,63,
number 270,115,Herman de Huijbert,,m,,,World/Suriname,1672-12-26,Anna Geneveuve de Huijbert,640000,,nicht,,World/The Netherlands/Zeeland/Middelburg,,,-56,027783,3,919305,Johannes d'Olijslager,9 alfoxchoofden lamoen sop,,,,51,4987962,3,610998,1,64,
number 305,130,Jan Andriesen,Schipper,,,,World/Suriname,1672-9-14,Anna Jansen,650000,,,,World,,,-56,027783,3,919305,Soetelinck (neef), Jean Sijmoensse (buurman),,,,,42,230537,-83,7466403,1,65,
number 306,130,Jan Andriesen,Schipper,man,,30-35,World,1672-9-14,Anna Jansen,650000,,man,,World/The Netherlands/Zeeland/Middelburg,brief,Aardenburg,-83,7466403,42,230537,Barent Hermens Vooght,,,,,51,4987962,3,610998,1,65,
